Category	Class	Country	Dates	Race
Men Elite	1.1 - 1 day - Class 1	Netherlands	2-Apr-22	Volta Limburg Classic
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	3-Apr-22	Trofeo Piva
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Belgium	3-Apr-22	Ronde van Vlaanderen - Tour des Flandres
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	3-Apr-22	Ronde van Vlaanderen - Tour des Flandres
Men Elite	2.UWT - Stages - UCI WorldTour	Spain	04 Apr - 09 Apr 2022	Itzulia Basque Country
Men Elite	2.1 - Stages - Class 1	France	05 Apr - 08 Apr 2022	Circuit Cycliste Sarthe - Pays de la Loire
Men Elite	2.2 - Stages - Class 2	Turkey	05 Apr - 08 Apr 2022	Tour of Mevlana
Women Elite	1.1 - 1 day - Class 1	Belgium	6-Apr-22	Scheldeprijs vrouwen elite
Men Elite	1.Pro - 1 day - ProSeries	Belgium	6-Apr-22	Scheldeprijs
Men Elite	2.2 - Stages - Class 2	France	07 Apr - 10 Apr 2022	Circuit des Ardennes
Men Junior	2.1 - Stages - Class 1	Germany	08 Apr - 10 Apr 2022	Internationale Cottbuser Junioren-Etappenfahrt
Women Elite	2.1 - Stages - Class 1	Thailand	08 Apr - 10 Apr 2022	The Princess Maha Chackri Sirindhorns Cup Womens Tour of Thailand
Men Elite	2.2 - Stages - Class 2	Uruguay	08 Apr - 17 Apr 2022	Vuelta Ciclista del Uruguay
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	9-Apr-22	Trofeo Edil c
Men Elite	1.UWT - 1 day - UCI WorldTour	Netherlands	10-Apr-22	Amstel Gold Race
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Netherlands	10-Apr-22	Amstel Gold Race Ladies Edition
Men Elite	2.Pro - Stages - ProSeries	Turkey	10 Apr - 17 Apr 2022	Presidential Cycling Tour of Turkey
Men Elite	1.1 - 1 day - Class 1	France	12-Apr-22	Paris - Camembert
Men Elite	2.1 - Stages - Class 1	Italy	12 Apr - 15 Apr 2022	Giro di Sicilia - Tour of Sicily
Women Elite	1.1 - 1 day - Class 1	Belgium	13-Apr-22	De Brabantse Pijl - La Flèche Brabançonne
Men Elite	1.Pro - 1 day - ProSeries	Belgium	13-Apr-22	De Brabantse Pijl - La Flèche Brabançonne
Men Elite	2.2 - Stages - Class 2	France	13 Apr - 17 Apr 2022	Tour du Loir et Cher
Men Elite	1.1 - 1 day - Class 1	France	15-Apr-22	Classic Grand Besançon Doubs
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	France	16-Apr-22	Paris-Roubaix Femmes
Men Elite	1.1 - 1 day - Class 1	France	16-Apr-22	Tour du Jura Cycliste
Men Elite	1.2 - 1 day - Class 2	Netherlands	16-Apr-22	Arno Wallaard Memorial
Men Under 23	1.2U - 1 day - Class 2 - U23	Belgium	16-Apr-22	Liège-Bastogne-Liège
Men Elite	2.2 - Stages - Class 2	Montenegro	16 Apr - 17 Apr 2022	Adriatic Lustica Bay Montenegro Race
Men Junior	1.Ncup - 1 day - Class Nations' Cup	France	17-Apr-22	Paris - Roubaix Juniors
Women Elite	1.1 - 1 day - Class 1	France	17-Apr-22	Grand Prix Féminin de Chambéry
Men Elite	1.UWT - 1 day - UCI WorldTour	France	17-Apr-22	Paris-Roubaix
Women Elite	1.1 - 1 day - Class 1	Belgium	18-Apr-22	Ronde de Mouscron
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	18-Apr-22	Giro del Belvedere
Men Elite	2.Pro - Stages - ProSeries	Italy	18 Apr - 22 Apr 2022	Tour of the Alps
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	19-Apr-22	G.P. Palio del Recioto - Trofeo C&F Resinatura Blocchi
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Belgium	20-Apr-22	La Flèche Wallonne Féminine
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	20-Apr-22	La Flèche Wallonne
Women Junior	2.Ncup - Stages - Class Nations' Cup	Netherlands	22 Apr - 24 Apr 2022	EPZ Omloop van Borsele
Men Junior	CN - National Championships	New Zealand	22 Apr - 24 Apr 2022	National Road Championships - New Zealand (Juniors)
Women Elite	1.1 - 1 day - Class 1	Netherlands	23-Apr-22	EPZ Omloop van Borsele
Men Junior	2.1 - Stages - Class 1	Spain	23 Apr - 24 Apr 2022	XXVIII. GIPUZKOA KLASIKOA
Men Junior	1.1 - 1 day - Class 1	Netherlands	24-Apr-22	EPZ Omloop van Borsele
Men Elite	1.2 - 1 day - Class 2	United Kingdom	24-Apr-22	Rutland-Melton CiCLE Classic
Men Elite	1.1 - 1 day - Class 1	Spain	24-Apr-22	Klasika Primavera de Amorebieta
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	24-Apr-22	Liège-Bastogne-Liège
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Belgium	24-Apr-22	Liège-Bastogne-Liège Femmes
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	25-Apr-22	Gran Premio della Liberazione
Men Elite	2.2 - Stages - Class 2	France	25 Apr - 01 May 2022	Le Tour de Bretagne Cycliste
Men Elite	2.2 - Stages - Class 2	Austria	26 Apr - 29 Apr 2022	EUREGIO Bodensee Rundfahrt
Men Elite	2.UWT - Stages - UCI WorldTour	Switzerland	26 Apr - 01 May 2022	Tour de Romandie
Men Elite	2.1 - Stages - Class 1	Greece	27 Apr - 30 Apr 2022	International Tour of Hellas
Men Elite	2.2 - Stages - Class 2	United States	27 Apr - 01 May 2022	Tour of the Gila
Women Elite	2.2 - Stages - Class 2	United States	27 Apr - 01 May 2022	Tour of the Gila
Men Junior	2.1 - Stages - Class 1	Poland	28 Apr - 01 May 2022	La Coupe du President de la Ville de Grudziądz
Women Elite	2.2 - Stages - Class 2	Czech Republic	28 Apr - 01 May 2022	Gracia
Men Elite	1.2 - 1 day - Class 2	Poland	29-Apr-22	Grand Prix Nasielsk-Serock
Women Elite	2.Pro - Stages - ProSeries	Luxembourg	29 Apr - 01 May 2022	Ceratizit Festival Elsy Jacobs
Women Elite	2.1 - Stages - Class 1	Spain	29 Apr - 01 May 2022	Vuelta Ciclista Andalucia Ruta Del Sol
Men Under 23	2.2U - Stages - Class 2 - U23	Poland	29 Apr - 03 May 2022	Carpathian Couriers Race in memory of Wacław Felczak
Men Elite	1.2 - 1 day - Class 2	Netherlands	30-Apr-22	PWZ Zuidenveld Tour
Men Elite	1.2 - 1 day - Class 2	Poland	30-Apr-22	Grand Prix Wyszków
Women Junior	CN - National Championships	Belgium	1-May-22	National Road Championships - Belgium (ITT)
Men Elite	1.2 - 1 day - Class 2	Poland	1-May-22	Memoriał Andrzeja Trochanowskiego
Men Junior	1.1 - 1 day - Class 1	Czech Republic	1-May-22	Grand Prix West Bohemia
Men Elite	1.2 - 1 day - Class 2	Italy	1-May-22	Circuito del Porto - Trofeo Arvedi
Women Elite	1.2 - 1 day - Class 2	Belgium	1-May-22	Leiedal Koerse
Men Junior	1.1 - 1 day - Class 1	Belgium	1-May-22	E3 Saxo Bank Classic
Men Under 23	1.2U - 1 day - Class 2 - U23	Germany	1-May-22	Eschborn-Frankfurt
Men Elite	1.UWT - 1 day - UCI WorldTour	Germany	1-May-22	Eschborn-Frankfurt
Women Elite	2.1 - Stages - Class 1	France	03 May - 07 May 2022	Bretagne Ladies Tour CERATIZIT
Men Elite	2.Pro - Stages - ProSeries	France	03 May - 08 May 2022	4 Jours de Dunkerque / Grand Prix des Hauts de France
Men Elite	CN - National Championships	Cyprus	04 May - 08 May 2022	National Road Championships - Cyprus
Men Junior	2.Ncup - Stages - Class Nations' Cup	Czech Republic	05 May - 08 May 2022	Course de la Paix Juniors
Men Elite	2.2 - Stages - Class 2	Poland	06 May - 08 May 2022	CCC Tour - Grody Piastowskie
Men Elite	2.UWT - Stages - UCI WorldTour	Italy	06 May - 29 May 2022	Giro d'Italia
Men Elite	1.2 - 1 day - Class 2	Norway	7-May-22	Sundvolden GP
Men Elite	2.2 - Stages - Class 2	Netherlands	7-May-22	Ronde van Overijssel
Women Elite	1.1 - 1 day - Class 1	Belgium	7-May-22	GP Eco-Struct
Women Junior	2.Ncup - Stages - Class Nations' Cup	France	07 May - 08 May 2022	Tour du Gévaudan Occitanie femmes
Women Elite	1.1 - 1 day - Class 1	Belgium	8-May-22	Trofee Maarten Wynants
Men Elite	1.2 - 1 day - Class 2	Belgium	8-May-22	Flèche Ardennaise
Women Elite	1.1 - 1 day - Class 1	Spain	8-May-22	Gran Premio Ciudad de Eibar
Men Junior	1.1 - 1 day - Class 1	Luxembourg	8-May-22	Grand Prix Bob Jungels
Men Elite	1.2 - 1 day - Class 2	Norway	8-May-22	Ringerike GP
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	8-May-22	Gran Premio Industrie del Marmo
Women Elite	1.1 - 1 day - Class 1	Spain	10-May-22	Emakumeen Nafarroako Women's Elite Classics
Women Elite	2.2 - Stages - Class 2	China	11 May - 13 May 2022	Touf of Zhoushan Island (Shengsi Stage)
Men Elite	2.1 - Stages - Class 1	Hungary	11 May - 15 May 2022	Tour de Hongrie
Men Elite	2.2 - Stages - Class 2	Ukraine	12 May - 15 May 2022	Tour de Lviv Region
Women Elite	1.1 - 1 day - Class 1	France	13-May-22	La Classique Morbihan
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Spain	13 May - 15 May 2022	Itzulia Women
Women Elite	1.1 - 1 day - Class 1	France	14-May-22	Grand Prix du Morbihan Femmes
Men Elite	1.Pro - 1 day - ProSeries	France	14-May-22	Grand Prix du Morbihan
Women Elite	1.2 - 1 day - Class 2	Netherlands	14-May-22	ZLM Omloop der Kempen Ladies
Men Junior	2.1 - Stages - Class 1	France	14 May - 15 May 2022	Tour de Gironde International
Men Elite	1.Pro - 1 day - ProSeries	France	15-May-22	Tro-Bro Léon
Men Junior	1.1 - 1 day - Class 1	Italy	15-May-22	G.P. Sportivi Sovilla - La Piccola Sanremo
Men Elite	CRTP - Pro Criterium	Japan	15-May-22	International Criterium in Sakai
Men Under 23	1.2U - 1 day - Class 2 - U23	France	15-May-22	Paris-Roubaix Espoirs
Men Elite	2.1 - Stages - Class 1	Japan	15 May - 22 May 2022	Tour of Japan
Women Elite	1.1 - 1 day - Class 1	Spain	17-May-22	Durango - Durango Emakumeen Saria
Women Elite	2.2 - Stages - Class 2	France	18 May - 21 May 2022	Le Tour des Dames
Men Elite	2.2 - Stages - Class 2	United States	19 May - 22 May 2022	Joe Martin Stage Race
Women Elite	2.2 - Stages - Class 2	United States	19 May - 22 May 2022	Joe Martin Stage Race
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Spain	19 May - 22 May 2022	Vuelta a Burgos Feminas
Women Elite	1.1 - 1 day - Class 1	Netherlands	20-May-22	Veenendaal - Veenendaal Classic
Men Junior	2.1 - Stages - Class 1	Netherlands	20 May - 22 May 2022	SPIE Internationale Juniorendriedaagse
